run_id,request_count,router_policy,cache_model,workload,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_e2e_ms,p50_e2e_ms,p95_e2e_ms,p99_e2e_ms,mean_itl_ms,mean_tpot_ms,request_throughput,token_throughput,goodput_under_slo,mean_quality,quality_adjusted_goodput,cache_hit_rate,cached_prompt_token_ratio,fragmentation_index,memory_token_footprint,eviction_count,evicted_tokens,adapter_distribution,adapter_strategy,router_cache_pair,pareto_workload
agent_session-multitask-base_shared-seed11-1781443330516,48,multitask,base_shared,agent_session,21.215831193251464,19.948874883057755,23.011339606753985,51.71626411053284,54.140831193251465,55.87460250501374,72.87613447844346,85.52001788984148,1.2,2.111923517288647,18.470348126547563,506.7801767221488,18.470348126547563,0.8163909535079976,15.079025118656823,0.9287833827893175,0.7854454203262233,1.0,1368,0,0,{'multitask': 48},multitask-or-shared-base,multitask / base_shared,agent_session
agent_session-oracle-activated_lora-seed11-1781443385528,48,oracle,activated_lora,agent_session,21.30119895788533,20.727445943227533,23.239519108305117,51.40439651648438,55.50119895788532,54.66741742091187,72.1132098011467,95.34243404163028,1.2,2.0636852986197805,18.01762878598004,513.5024204004312,18.01762878598004,0.9230988193068884,16.63205185904798,0.9287833827893175,0.7854454203262233,1.0,1032,0,0,"{'qa': 16, 'json': 16, 'summary': 16}",activated-late-specialization,oracle / activated_lora,agent_session
public-domain-eval-large-1781443652752,100,cache_aware,activated_lora,jsonl_eval,14.412019293973792,12.140603910236347,24.454446755283648,27.15081879981328,46.956019293973796,46.49795840472602,67.17921343298138,70.2989308326554,1.2,1.8130528294854376,21.296524173809964,577.5617355937262,21.296524173809964,0.9104128375580387,19.388629003201693,0.9133333333333333,0.7461827284105131,1.0,966,0,0,"{'qa': 25, 'json': 25, 'summary': 25, 'code': 25}",activated-late-specialization,cache_aware / activated_lora,jsonl_eval
low_overlap_control-multitask-activated_lora-seed11-1781443334954,48,multitask,activated_lora,low_overlap_control,69.02854497109192,69.03964175471205,71.51667762945138,74.30849860899524,102.40354497109193,104.25754307997943,122.46951585195319,123.11667762945137,1.2,4.058904655353127,9.76528693691508,271.59704293295067,9.76528693691508,0.8026429516283026,7.838038730542825,0.4782608695652174,0.042328042328042326,1.0,7964,0,0,{'multitask': 48},activated-late-specialization,multitask / activated_lora,low_overlap_control
low_overlap_control-cache_aware-activated_lora-seed11-1781443367720,48,cache_aware,activated_lora,low_overlap_control,68.80906155717521,68.42278232469106,72.23918347990696,73.30258348803063,102.60906155717521,102.56947339586782,118.24379815383972,121.36369200291949,1.2,3.961836386968935,9.745727958371258,274.5046708274571,9.745727958371258,0.9070162139699103,8.839533275182601,0.4782608695652174,0.042328042328042326,1.0,7964,0,0,"{'qa': 12, 'json': 12, 'summary': 12, 'code': 12}",activated-late-specialization,cache_aware / activated_lora,low_overlap_control
mixed_tasks_same_doc-multitask-activated_lora-seed11-1781443433012,64,multitask,activated_lora,mixed_tasks_same_doc,15.90826119191805,14.251687810061721,17.127042490296315,77.86191011370109,47.46451119191805,44.839568486932116,68.0581668769729,112.21462898475986,1.2,1.8749812248309456,21.06837245108454,554.0323567996137,21.06837245108454,0.8022583445485687,16.90227760493975,0.9591054313099041,0.9270702634880803,0.5440860215053763,506,77,424,{'multitask': 64},activated-late-specialization,multitask / activated_lora,mixed_tasks_same_doc
mixed_tasks_same_doc-oracle-activated_lora-seed11-1781443488230,64,oracle,activated_lora,mixed_tasks_same_doc,16.075520982846555,14.162970174442075,17.295798677225005,81.04293861560183,48.569270982846554,46.90810067187523,66.38335213811247,117.04293861560183,1.2,1.8642061129984413,20.58914988353799,557.5155741901771,20.58914988353799,0.9123983749959312,18.78550689628773,0.9591054313099041,0.9270702634880803,0.5440860215053763,506,77,424,"{'qa': 16, 'json': 16, 'summary': 16, 'code': 16}",activated-late-specialization,oracle / activated_lora,mixed_tasks_same_doc
prompt_layout_ablation-multitask-copy_on_write-seed17-1781443569697,48,multitask,copy_on_write,prompt_layout_ablation,43.414088199199426,66.78290248611259,71.44696074139279,74.31464728407789,77.08908819919942,83.21266876745901,118.24421273478478,123.2942987980195,1.2,2.991493587891451,12.972004512700735,364.02687663766443,12.972004512700735,0.8124141043679188,10.53863942804237,0.9097744360902256,0.46360153256704983,1.0129464285714285,4538,0,0,{'multitask': 48},copy-on-write-delta,multitask / copy_on_write,prompt_layout_ablation
prompt_layout_ablation-oracle-copy_on_write-seed23-1781443651222,48,oracle,copy_on_write,prompt_layout_ablation,43.894164596894434,67.44543940996866,71.69916156942162,74.72324644390702,75.51916459689444,83.38005392592822,116.64543940996865,121.9370414812982,1.2,3.1390511816470554,13.241671903255174,348.9732282837041,13.241671903255174,0.9297095279907376,12.310908534983579,0.9097744360902256,0.46360153256704983,1.0129464285714285,4538,0,0,"{'qa': 24, 'json': 24}",copy-on-write-delta,oracle / copy_on_write,prompt_layout_ablation
shared_doc_qa-cache_aware-standard_lora-seed17-1781443573944,48,cache_aware,standard_lora,shared_doc_qa,18.618972598439758,14.34332179248198,70.62925201993755,75.59760031082564,50.16897259843975,49.14332179248198,103.19760031082564,109.02925201993756,1.2,2.0276315351550056,19.9326386052223,524.0622899956364,19.9326386052223,0.9222995655862523,18.38386392658429,0.9506172839506173,0.875,1.0,1056,0,0,{'qa': 48},specialist-adapter,cache_aware / standard_lora,shared_doc_qa
shared_doc_qa-oracle-standard_lora-seed23-1781443615365,48,oracle,standard_lora,shared_doc_qa,18.444815893933473,13.895088348316488,71.11061581050731,75.12080031302351,53.44481589393347,53.148137697284106,103.51061581050732,116.10527228052933,1.2,1.9363167090179403,18.710888666631373,545.7342527767483,18.710888666631373,0.9241421935002663,17.29152169471999,0.9506172839506173,0.875,1.0,1056,0,0,{'qa': 48},specialist-adapter,oracle / standard_lora,shared_doc_qa
