run_id,workload,router_policy,cache_model,ttft_slo_ms,requests_under_slo,goodput_under_slo,quality_adjusted_goodput,mean_quality
agent_session-oracle-standard_lora-1781440208139,agent_session,oracle,standard_lora,250.0,48,16.491896824428366,15.207847961116846,0.9221406199067689
agent_session-random-activated_lora-1781440157767,agent_session,random,activated_lora,25.0,46,17.6504061161098,12.477094180432207,0.7069012519232727
agent_session-random-activated_lora-1781440157767,agent_session,random,activated_lora,50.0,47,18.034110596894795,12.748335358267688,0.7069012519232727
agent_session-random-activated_lora-1781440157767,agent_session,random,activated_lora,100.0,48,18.41781507767979,13.019576536103171,0.7069012519232727
agent_session-random-activated_lora-1781440157767,agent_session,random,activated_lora,150.0,48,18.41781507767979,13.019576536103171,0.7069012519232727
agent_session-random-activated_lora-1781440157767,agent_session,random,activated_lora,250.0,48,18.41781507767979,13.019576536103171,0.7069012519232727
agent_session-random-base_shared-1781440154947,agent_session,random,base_shared,25.0,46,17.6504061161098,12.477094180432207,0.7069012519232727
agent_session-random-base_shared-1781440154947,agent_session,random,base_shared,50.0,47,18.034110596894795,12.748335358267688,0.7069012519232727
agent_session-random-base_shared-1781440154947,agent_session,random,base_shared,100.0,48,18.41781507767979,13.019576536103171,0.7069012519232727
agent_session-random-base_shared-1781440154947,agent_session,random,base_shared,150.0,48,18.41781507767979,13.019576536103171,0.7069012519232727
agent_session-random-base_shared-1781440154947,agent_session,random,base_shared,250.0,48,18.41781507767979,13.019576536103171,0.7069012519232727
agent_session-random-copy_on_write-1781440160725,agent_session,random,copy_on_write,25.0,46,17.6504061161098,12.477094180432207,0.7069012519232727
agent_session-random-copy_on_write-1781440160725,agent_session,random,copy_on_write,50.0,47,18.034110596894795,12.748335358267688,0.7069012519232727
agent_session-random-copy_on_write-1781440160725,agent_session,random,copy_on_write,100.0,48,18.41781507767979,13.019576536103171,0.7069012519232727
agent_session-random-copy_on_write-1781440160725,agent_session,random,copy_on_write,150.0,48,18.41781507767979,13.019576536103171,0.7069012519232727
agent_session-random-copy_on_write-1781440160725,agent_session,random,copy_on_write,250.0,48,18.41781507767979,13.019576536103171,0.7069012519232727
agent_session-random-standard_lora-1781440152305,agent_session,random,standard_lora,25.0,21,6.8569809134423245,4.847208392126365,0.7069012519232727
agent_session-random-standard_lora-1781440152305,agent_session,random,standard_lora,50.0,42,13.713961826884649,9.69441678425273,0.7069012519232727
agent_session-random-standard_lora-1781440152305,agent_session,random,standard_lora,100.0,48,15.673099230725313,11.079333467717406,0.7069012519232727
agent_session-random-standard_lora-1781440152305,agent_session,random,standard_lora,150.0,48,15.673099230725313,11.079333467717406,0.7069012519232727
agent_session-random-standard_lora-1781440152305,agent_session,random,standard_lora,250.0,48,15.673099230725313,11.079333467717406,0.7069012519232727
agent_session-semantic-activated_lora-1781440170391,agent_session,semantic,activated_lora,25.0,46,17.790014075308093,16.40489460755475,0.9221406199067689
agent_session-semantic-activated_lora-1781440170391,agent_session,semantic,activated_lora,50.0,46,17.790014075308093,16.40489460755475,0.9221406199067689
agent_session-semantic-activated_lora-1781440170391,agent_session,semantic,activated_lora,100.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-semantic-activated_lora-1781440170391,agent_session,semantic,activated_lora,150.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-semantic-activated_lora-1781440170391,agent_session,semantic,activated_lora,250.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-semantic-base_shared-1781440167039,agent_session,semantic,base_shared,25.0,46,17.790014075308093,16.40489460755475,0.9221406199067689
agent_session-semantic-base_shared-1781440167039,agent_session,semantic,base_shared,50.0,46,17.790014075308093,16.40489460755475,0.9221406199067689
agent_session-semantic-base_shared-1781440167039,agent_session,semantic,base_shared,100.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-semantic-base_shared-1781440167039,agent_session,semantic,base_shared,150.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-semantic-base_shared-1781440167039,agent_session,semantic,base_shared,250.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
