run_id,request_count,router_policy,cache_model,workload,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_e2e_ms,p50_e2e_ms,p95_e2e_ms,p99_e2e_ms,mean_itl_ms,mean_tpot_ms,request_throughput,token_throughput,goodput_under_slo,mean_quality,quality_adjusted_goodput,cache_hit_rate,cached_prompt_token_ratio,fragmentation_index,memory_token_footprint,eviction_count,evicted_tokens,adapter_distribution,adapter_strategy,router_cache_pair
prompt_layout_ablation-multitask-base_shared-seed11-1781443331999,48,multitask,base_shared,prompt_layout_ablation,43.277532873502025,66.94785224858752,71.75269946068603,72.06482506872587,76.07753287350202,84.0312595183333,116.41024588184212,120.11223093075131,1.2,3.1848034652050625,13.144485135483439,359.282593703214,13.144485135483439,0.8128944921711844,10.685079569060491,0.9097744360902256,0.46360153256704983,1.0,4480,0,0,{'multitask': 48},multitask-or-shared-base,multitask / base_shared
shared_doc_qa-semantic-standard_lora-seed11-1781443312317,48,semantic,standard_lora,shared_doc_qa,18.177641192977045,13.469025274437863,70.79922424497421,74.54771382750981,51.17764119297704,50.72611024752372,88.9477138275098,121.1992242449742,1.2,2.0477943488259176,19.539782934294887,537.3440306931094,19.539782934294887,0.9185562147947066,17.948389050036116,0.9506172839506173,0.875,1.0,1056,0,0,{'qa': 48},specialist-adapter,semantic / standard_lora
mixed_tasks_same_doc-semantic-copy_on_write-seed23-1781443529972,48,semantic,copy_on_write,mixed_tasks_same_doc,16.996152658555964,15.00369039051534,17.89557030554094,76.649329159341,51.17115265855596,49.2104666650832,67.99539812817424,110.24932915934099,1.2,1.9041777636744477,19.542260591091008,556.5472964171126,19.542260591091008,0.9075390375591729,17.735364368569286,0.9530791788856305,0.9065550906555091,1.0161691542288558,817,0,0,"{'qa': 12, 'json': 12, 'summary': 12, 'code': 12}",copy-on-write-delta,semantic / copy_on_write
prompt_layout_ablation-oracle-activated_lora-seed17-1781443491945,64,oracle,activated_lora,prompt_layout_ablation,78.76694638600684,78.67123241900492,81.43737080805315,81.74044456442961,113.99819638600684,114.3351088819405,129.07571537023438,132.28529851810586,1.2,4.2171242110346725,8.7720686089973,257.5424518172801,8.7720686089973,0.9294578132264533,8.153267706791047,0.0,0.0,0.07838917921918229,510,1534,11906,"{'qa': 32, 'json': 32}",activated-late-specialization,oracle / activated_lora
prompt_layout_ablation-multitask-activated_lora-seed11-1781443335682,48,multitask,activated_lora,prompt_layout_ablation,43.11711620683536,66.94785224858752,71.75269946068603,72.06482506872587,75.91711620683536,84.0312595183333,116.41024588184212,120.11223093075131,1.2,3.178797601236987,13.172260090537565,360.0417758080268,13.172260090537565,0.8128944921711844,10.707657677044292,0.9133574007220217,0.46623563218390807,1.0,4458,0,0,{'multitask': 48},activated-late-specialization,multitask / activated_lora
mixed_tasks_same_doc-multitask-copy_on_write-seed17-1781443565462,48,multitask,copy_on_write,mixed_tasks_same_doc,16.860126521251676,14.701149292456538,20.430009626129426,72.26145805191484,50.435126521251675,49.61332127739587,70.19856565921314,102.26145805191484,1.2,1.8686728855718675,19.82745100438349,554.755556226813,19.82745100438349,0.7932778549473453,15.728677801830923,0.9530791788856305,0.9065550906555091,1.0124378109452736,814,0,0,{'multitask': 48},copy-on-write-delta,multitask / copy_on_write
shared_doc_qa-oracle-standard_lora-seed23-1781443615365,48,oracle,standard_lora,shared_doc_qa,18.444815893933473,13.895088348316488,71.11061581050731,75.12080031302351,53.44481589393347,53.148137697284106,103.51061581050732,116.10527228052933,1.2,1.9363167090179403,18.710888666631373,545.7342527767483,18.710888666631373,0.9241421935002663,17.29152169471999,0.9506172839506173,0.875,1.0,1056,0,0,{'qa': 48},specialist-adapter,oracle / standard_lora
prompt_layout_ablation-oracle-copy_on_write-seed23-1781443651222,48,oracle,copy_on_write,prompt_layout_ablation,43.894164596894434,67.44543940996866,71.69916156942162,74.72324644390702,75.51916459689444,83.38005392592822,116.64543940996865,121.9370414812982,1.2,3.1390511816470554,13.241671903255174,348.9732282837041,13.241671903255174,0.9297095279907376,12.310908534983579,0.9097744360902256,0.46360153256704983,1.0129464285714285,4538,0,0,"{'qa': 24, 'json': 24}",copy-on-write-delta,oracle / copy_on_write
shared_doc_qa-oracle-copy_on_write-seed17-1781443494414,64,oracle,copy_on_write,shared_doc_qa,79.49727517534967,79.70443826729621,82.31842333057426,82.53250191067765,110.90352517534967,111.15833819306152,129.30364745606275,129.65672198602067,1.2,4.668472090410753,9.016845933606701,235.98776466861287,9.016845933606701,0.9199960996536627,8.295463090096154,0.0,0.0,0.501953125,514,1535,12036,{'qa': 64},copy-on-write-delta,oracle / copy_on_write
shared_doc_qa-semantic-copy_on_write-seed11-1781443322072,48,semantic,copy_on_write,shared_doc_qa,18.177641192977045,13.469025274437863,70.79922424497421,74.54771382750981,51.17764119297704,50.72611024752372,88.9477138275098,121.1992242449742,1.2,2.0477943488259176,19.539782934294887,537.3440306931094,19.539782934294887,0.9185562147947066,17.948389050036116,0.9506172839506173,0.875,1.0056818181818181,1062,0,0,{'qa': 48},copy-on-write-delta,semantic / copy_on_write
