workload,router_policy,cache_model,run_count,quality_adjusted_goodput_mean,quality_adjusted_goodput_std,mean_quality_mean,mean_quality_std,p95_ttft_ms_mean,p95_ttft_ms_std
jsonl_eval,cache_aware,activated_lora,1,19.388629003201693,0.0,0.9104128375580387,0.0,24.454446755283648,0.0
mixed_tasks_same_doc,semantic,base_shared,3,18.590382238366015,0.3599986524239648,0.9110810849113288,0.0012577207782549327,18.648684222274905,0.7760100646124675
mixed_tasks_same_doc,oracle,base_shared,3,18.590382238366015,0.35999865242396306,0.9110810849113288,0.0012577207782548774,18.648684222274905,0.7760100646124675
mixed_tasks_same_doc,cache_aware,base_shared,3,18.590382238366015,0.35999865242396306,0.9110810849113288,0.0012577207782548774,18.648684222274905,0.7760100646124675
mixed_tasks_same_doc,cache_aware,activated_lora,6,18.338239483113046,0.32329087470379153,0.9098987924686263,0.0016923906808989219,18.109439819113216,0.7945284294142798
mixed_tasks_same_doc,semantic,activated_lora,6,18.338239483113046,0.32329087470379136,0.9098987924686263,0.0016923906808989186,18.109439819113216,0.7945284294142801
mixed_tasks_same_doc,oracle,activated_lora,6,18.338239483113046,0.3232908747037901,0.9098987924686263,0.0016923906808989039,18.109439819113216,0.7945284294142805
mixed_tasks_same_doc,sticky_session,activated_lora,1,18.314609430422585,0.0,0.9098928913058059,0.0,18.348714147620036,0.0
mixed_tasks_same_doc,semantic,copy_on_write,6,18.292701262108427,0.4244940524338678,0.9098987924686263,0.0016923906808989015,18.726618321000238,0.7884334116974546
mixed_tasks_same_doc,cache_aware,copy_on_write,6,18.292701262108427,0.42449405243386695,0.9098987924686263,0.0016923906808989015,18.726618321000238,0.7884334116974563
mixed_tasks_same_doc,oracle,copy_on_write,6,18.292701262108427,0.42449405243386684,0.9098987924686263,0.0016923906808989015,18.726618321000238,0.7884334116974562
mixed_tasks_same_doc,sticky_session,copy_on_write,1,18.191789892370537,0.0,0.9098928913058059,0.0,18.698714147620038,0.0
mixed_tasks_same_doc,sticky_session,base_shared,1,18.191789892370537,0.0,0.9098928913058059,0.0,18.698714147620038,0.0
shared_doc_qa,sticky_session,activated_lora,1,18.061617577921293,0.0,0.9185562147947066,0.0,70.79922424497421,0.0
shared_doc_qa,sticky_session,standard_lora,1,17.948389050036116,0.0,0.9185562147947066,0.0,70.79922424497421,0.0
shared_doc_qa,sticky_session,base_shared,1,17.948389050036116,0.0,0.9185562147947066,0.0,70.79922424497421,0.0
shared_doc_qa,sticky_session,copy_on_write,1,17.948389050036116,0.0,0.9185562147947066,0.0,70.79922424497421,0.0
mixed_tasks_same_doc,sticky_session,standard_lora,1,17.380949379933465,0.0,0.9098928913058059,0.0,74.04293861560183,0.0
agent_session,cache_aware,base_shared,1,16.63205185904798,0.0,0.9230988193068884,0.0,23.239519108305117,0.0
agent_session,sticky_session,base_shared,1,16.63205185904798,0.0,0.9230988193068884,0.0,23.239519108305117,0.0
agent_session,sticky_session,copy_on_write,1,16.63205185904798,0.0,0.9230988193068884,0.0,23.239519108305117,0.0
agent_session,cache_aware,activated_lora,1,16.63205185904798,0.0,0.9230988193068884,0.0,23.239519108305117,0.0
agent_session,sticky_session,activated_lora,1,16.63205185904798,0.0,0.9230988193068884,0.0,23.239519108305117,0.0
agent_session,semantic,copy_on_write,1,16.63205185904798,0.0,0.9230988193068884,0.0,23.239519108305117,0.0
agent_session,cache_aware,copy_on_write,1,16.63205185904798,0.0,0.9230988193068884,0.0,23.239519108305117,0.0
agent_session,oracle,activated_lora,1,16.63205185904798,0.0,0.9230988193068884,0.0,23.239519108305117,0.0
agent_session,oracle,base_shared,1,16.63205185904798,0.0,0.9230988193068884,0.0,23.239519108305117,0.0
agent_session,oracle,copy_on_write,1,16.63205185904798,0.0,0.9230988193068884,0.0,23.239519108305117,0.0
agent_session,semantic,activated_lora,1,16.63205185904798,0.0,0.9230988193068884,0.0,23.239519108305117,0.0
agent_session,semantic,base_shared,1,16.63205185904798,0.0,0.9230988193068884,0.0,23.239519108305117,0.0
mixed_tasks_same_doc,multitask,base_shared,3,16.61975020900113,0.5235000669644292,0.8013471556202266,0.002978835367258576,19.47458489233277,1.8768481636053103
mixed_tasks_same_doc,multitask,activated_lora,6,16.59715129927831,0.5537385960508259,0.7998975007695915,0.0041320045166797405,18.973120584892403,1.0555985801071415
mixed_tasks_same_doc,multitask,standard_lora,6,16.550699735359217,0.5344367556233184,0.7998975007695915,0.004132004516679756,19.556160721313894,1.307160285205661
mixed_tasks_same_doc,multitask,copy_on_write,6,16.550699735359217,0.534436755623318,0.7998975007695915,0.004132004516679783,19.556160721313894,1.3071602852056619
agent_session,multitask,activated_lora,1,15.079025118656823,0.0,0.8163909535079976,0.0,23.011339606753985,0.0
agent_session,multitask,base_shared,1,15.079025118656823,0.0,0.8163909535079976,0.0,23.011339606753985,0.0
agent_session,multitask,standard_lora,1,15.079025118656823,0.0,0.8163909535079976,0.0,23.011339606753985,0.0
agent_session,multitask,copy_on_write,1,15.079025118656823,0.0,0.8163909535079976,0.0,23.011339606753985,0.0
agent_session,oracle,standard_lora,1,14.824642053298739,0.0,0.9230988193068884,0.0,50.2781259684379,0.0
agent_session,semantic,standard_lora,1,14.824642053298739,0.0,0.9230988193068884,0.0,50.2781259684379,0.0
agent_session,sticky_session,standard_lora,1,14.824642053298739,0.0,0.9230988193068884,0.0,50.2781259684379,0.0
shared_doc_qa,cache_aware,activated_lora,6,14.754219069577102,5.04907952877576,0.9208066856323697,0.0022078956045173555,74.62563989375744,5.875560442943396
shared_doc_qa,semantic,activated_lora,6,14.754219069577102,5.04907952877576,0.9208066856323697,0.002207895604517356,74.62563989375744,5.875560442943394
shared_doc_qa,oracle,activated_lora,6,14.754219069577099,5.04907952877576,0.9208066856323697,0.002207895604517334,74.62563989375744,5.875560442943401
shared_doc_qa,oracle,copy_on_write,6,14.67935093915581,4.990917408213835,0.9208066856323697,0.0022078956045173473,74.62563989375744,5.875560442943397
shared_doc_qa,cache_aware,standard_lora,6,14.67935093915581,4.990917408213835,0.9208066856323697,0.0022078956045173868,74.62563989375744,5.875560442943396
shared_doc_qa,oracle,standard_lora,6,14.67935093915581,4.990917408213835,0.9208066856323697,0.002207895604517342,74.62563989375744,5.875560442943396
shared_doc_qa,cache_aware,copy_on_write,6,14.67935093915581,4.990917408213835,0.9208066856323697,0.002207895604517336,74.62563989375744,5.8755604429434
shared_doc_qa,semantic,copy_on_write,6,14.67935093915581,4.990917408213835,0.9208066856323697,0.002207895604517366,74.62563989375744,5.875560442943394
shared_doc_qa,semantic,standard_lora,6,14.67935093915581,4.990917408213835,0.9208066856323697,0.002207895604517352,74.62563989375744,5.875560442943396
mixed_tasks_same_doc,semantic,standard_lora,6,14.175665756967163,4.7580707252130345,0.9098987924686263,0.0016923906808989306,77.2125360920698,4.986543073122561
mixed_tasks_same_doc,oracle,standard_lora,6,14.175665756967163,4.758070725213035,0.9098987924686263,0.0016923906808988935,77.2125360920698,4.986543073122562
mixed_tasks_same_doc,cache_aware,standard_lora,6,13.89471561961644,0.3191885635154131,0.6859418834514116,0.0030714627529675473,18.702077139481382,1.1151134971890722
shared_doc_qa,random,copy_on_write,1,13.158436331247977,0.0,0.6548108927172066,0.0,72.47646151670939,0.0
shared_doc_qa,random,base_shared,1,13.158436331247977,0.0,0.6548108927172066,0.0,72.47646151670939,0.0
shared_doc_qa,random,activated_lora,1,13.135340278161648,0.0,0.6548108927172066,0.0,72.47646151670939,0.0
shared_doc_qa,multitask,activated_lora,6,12.889526746284561,4.3949575196146915,0.8201442198299841,0.002166259155082191,75.92419569219264,4.9832007326264565
shared_doc_qa,multitask,standard_lora,6,12.825482812502045,4.345271920816199,0.8201442198299841,0.002166259155082188,75.92419569219264,4.983200732626454
shared_doc_qa,multitask,copy_on_write,6,12.825482812502045,4.345271920816199,0.8201442198299841,0.0021662591550821834,75.92419569219264,4.983200732626453
agent_session,random,copy_on_write,1,12.397257415265383,0.0,0.6564728360503742,0.0,23.046312050572602,0.0
agent_session,random,base_shared,1,12.397257415265383,0.0,0.6564728360503742,0.0,23.046312050572602,0.0
agent_session,random,activated_lora,1,12.397257415265383,0.0,0.6564728360503742,0.0,23.046312050572602,0.0
mixed_tasks_same_doc,random,copy_on_write,1,12.001151017948315,0.0,0.6265501974504485,0.0,18.698714147620038,0.0
mixed_tasks_same_doc,random,base_shared,1,12.001151017948315,0.0,0.6265501974504485,0.0,18.698714147620038,0.0
prompt_layout_ablation,sticky_session,activated_lora,1,11.855262951288273,0.0,0.9253907537226375,0.0,71.9871743021818,0.0
mixed_tasks_same_doc,random,activated_lora,1,11.839104844949706,0.0,0.6265501974504485,0.0,19.851687810061723,0.0
prompt_layout_ablation,sticky_session,base_shared,1,11.83094902441147,0.0,0.9253907537226375,0.0,71.9871743021818,0.0
prompt_layout_ablation,sticky_session,standard_lora,1,11.83094902441147,0.0,0.9253907537226375,0.0,71.9871743021818,0.0
prompt_layout_ablation,sticky_session,copy_on_write,1,11.83094902441147,0.0,0.9253907537226375,0.0,71.9871743021818,0.0
shared_doc_qa,oracle,base_shared,3,11.484110321198154,5.59839853696936,0.9199473799709977,0.0013674564085485606,78.40491576237518,6.587651602011168
shared_doc_qa,semantic,base_shared,3,11.484110321198154,5.598398536969359,0.9199473799709977,0.0013674564085485329,78.40491576237518,6.587651602011173
shared_doc_qa,cache_aware,base_shared,3,11.484110321198154,5.59839853696936,0.9199473799709977,0.001367456408548546,78.40491576237518,6.587651602011173
agent_session,cache_aware,standard_lora,1,11.231393273581382,0.0,0.6143211223039837,0.0,23.239519108305117,0.0
prompt_layout_ablation,cache_aware,activated_lora,6,10.682997583495379,1.9241002980545472,0.9271894724751589,0.0021527022371558816,75.1162882191987,4.993331291155777
prompt_layout_ablation,semantic,activated_lora,6,10.682997583495379,1.924100298054546,0.9271894724751589,0.0021527022371558703,75.1162882191987,4.99333129115577
prompt_layout_ablation,oracle,activated_lora,6,10.682997583495379,1.924100298054547,0.9271894724751589,0.002152702237155889,75.1162882191987,4.993331291155777
prompt_layout_ablation,cache_aware,copy_on_write,6,10.666647259800584,1.911417422480824,0.9271894724751589,0.00215270223715586,75.1162882191987,4.993331291155776
prompt_layout_ablation,semantic,standard_lora,6,10.666647259800584,1.9114174224808242,0.9271894724751589,0.002152702237155843,75.1162882191987,4.9933312911557755
prompt_layout_ablation,oracle,standard_lora,6,10.666647259800584,1.9114174224808242,0.9271894724751589,0.002152702237155853,75.1162882191987,4.993331291155774
